,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
133,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9117548,3,"53,3","53,3",133,1.0,6
134,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9173126,1,"42,6","42,6",134,1.0,6
135,6,37.627966,55.779423,2,1.0,,5,0.06830434648314976,0,1.0,0.0,9200000,1,29,44,135,1.0,6
136,8,37.683877,55.74108,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,9200000,9,19,38,136,1.0,11
137,"7,5",37.678514,55.768061,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9300000,11,"22,2","39,5",137,1.0,5
138,6,37.54604,55.762439,2,0.0,1.0,12,0.06830434648314976,0,1.0,,9300000,6,"29,3",45,138,1.0,15
139,5,37.705634,55.776598,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,9300000,8,27,42,139,1.0,7
140,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9310992,2,"41,6","41,6",140,1.0,6
141,10,37.614913,55.733863,4,,,6,0.06830434648314976,0,1.0,0.0,117390060,5,112,160,141,1.0,8
142,–,37.574022,55.742159,,1.0,,6,0.06830434648314976,0,1.0,0.0,456516900,5,–,498,142,1.0,5
143,–,37.591952,55.760109,,,,9,0.06830434648314976,0,1.0,0.0,782600400,1,–,"404,6",143,1.0,10
144,–,37.672163,55.776294,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,9356608,2,"42,6","42,6",144,1.0,5
145,8,37.678559,55.774811,2,0.0,,9,0.06830434648314976,0,1.0,0.0,9390000,1,22,37,145,1.0,2
146,–,37.564721,55.771218,1,1.0,,39,0.06830434648314976,0,,,9464000,6,–,"45,5",146,1.0,5
147,6,37.653909,55.73478,2,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,9500000,3,29,43,147,1.0,9
148,"6,8",37.569926,55.771641,2,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,9500000,4,29,45,148,1.0,15
149,"7,8",37.627813,55.792124,2,1.0,1.0,8,0.06830434648314976,0,1.0,0.0,9500000,3,30,46,149,1.0,8
150,"9,6",37.570564,55.766694,1,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9500000,5,20,"35,2",150,1.0,9
151,"5,7",37.554681,55.7582,2,1.0,,5,0.06830434648314976,0,0.0,0.0,9500000,1,"38,5",55,151,1.0,12
152,"7,4",37.521632,55.758124,1,0.0,1.0,17,0.06830434648314976,0,0.0,0.0,9500000,13,19,38,152,1.0,15
153,6,37.591117,55.769707,1,1.0,,5,0.06830434648314976,0,0.0,0.0,9500000,1,18,30,153,1.0,4
154,9,37.566584,55.769904,1,1.0,1.0,9,0.06830434648314976,0,,0.0,9500000,9,18,"33,9",154,1.0,11
155,10,37.676412,55.746466,1,0.0,0.0,18,0.06830434648314976,0,0.0,0.0,9500000,6,20,"38,5",155,1.0,5
156,"6,9",37.632224,55.787923,1,0.0,1.0,16,0.06830434648314976,0,1.0,0.0,9500000,10,22,"34,8",156,1.0,6
157,8,37.654224,55.765949,1,0.0,,8,0.06830434648314976,0,1.0,0.0,9600000,7,15,30,157,1.0,7
158,7,37.702706,55.772396,2,1.0,1.0,14,0.06830434648314976,0,1.0,0.0,9700000,1,30,50,158,1.0,11
159,6,37.667483,55.741642,2,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,9700000,3,32,38,159,1.0,11
160,"7,4",37.601034,55.785878,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9700000,2,29,"47,4",160,1.0,7
161,"5,5",37.571462,55.76601,2,1.0,,5,0.06830434648314976,0,1.0,0.0,9700000,1,34,43,161,1.0,7
